nom_fr,year,month,day_of_year,date,NDVI_median,NDWI_median,NDDI_median,NDDI_mean
Fès-Meknès,2000,2,49,2000-02-18,0.37087371110963585,-0.027195428455379533,1.6156124914361087,1.3656893509166783
Guelmim-Oued Noun,2000,2,49,2000-02-18,0.05799943725835353,-0.04476964575168023,4.088965094074457,4.152992136013741
Laâyoune-Sakia El Hamra,2000,2,49,2000-02-18,,,,
Souss-Massa,2000,2,49,2000-02-18,0.032252681022812174,0.07606456113973771,-0.6416966565061503,0.09894598764920397
Dakhla-Oued Ed-Dahab,2000,2,49,2000-02-18,,,,
Tanger-Tétouan-Al Hoceima,2000,2,49,2000-02-18,0.1528862085444453,0.17927272286450585,0.277015588554932,0.010655035788262998
Drâa-Tafilalet,2000,2,49,2000-02-18,0.004631809374295087,0.35714014475592665,-0.9398702105006179,-2.373822953551256
Marrakech-Safi,2000,2,49,2000-02-18,-0.004794191873247465,0.4550633892236478,-1.0301640654491284,-0.870150907217353
l'Oriental,2000,2,49,2000-02-18,0.2799538378288012,-0.028956726401353914,1.5813696694168748,-1.8904134582167478
Béni Mellal-Khénifra,2000,2,49,2000-02-18,0.024013218935739596,0.36050778722116383,-0.8808106743540884,-0.8013792018343827
Casablanca-Settat,2000,2,49,2000-02-18,0.020219073680177606,0.3412420587216738,-0.8936302735782221,-0.6617568192364687
Rabat-Salé-Kénitra,2000,2,49,2000-02-18,0.25995390357251064,0.13083124700809,0.4058268988637962,0.3216411694978257
Fès-Meknès,2000,2,57,2000-02-26,0.33211848127821114,-0.05037683902563083,1.7592716678010154,2.393937131503612
Guelmim-Oued Noun,2000,2,57,2000-02-26,0.08385059878433203,-0.08159458294531446,4.184317243291138,11.614045646736038
Laâyoune-Sakia El Hamra,2000,2,57,2000-02-26,0.06052353425051205,-0.08402783912898466,-6.247653207732975,-5.7771538511705876
Souss-Massa,2000,2,57,2000-02-26,0.19140134542239237,-0.08963864231830337,2.1279134820376284,1.1367678997393846
Dakhla-Oued Ed-Dahab,2000,2,57,2000-02-26,0.08599829345514283,-0.08866806224255008,-7.603476481495469,5.1723102005188375
Tanger-Tétouan-Al Hoceima,2000,2,57,2000-02-26,0.5154244359827332,0.07045305057827957,1.0284433530127106,1.3228900672963022
Drâa-Tafilalet,2000,2,57,2000-02-26,0.12273832602619801,-0.09807946865278165,4.742809402237663,10.48189185566706
Marrakech-Safi,2000,2,57,2000-02-26,0.35941726199243823,-0.03872851874283149,1.4645835910469511,2.2001736923981228
l'Oriental,2000,2,57,2000-02-26,0.28427688143740704,-0.10376007709518036,2.3159302161130637,2.77268289714435
Béni Mellal-Khénifra,2000,2,57,2000-02-26,0.2872672619108555,-0.009632656329929044,1.2365091718017722,1.2603564696646374
Casablanca-Settat,2000,2,57,2000-02-26,0.40792190275099083,0.05467608153624695,1.309353099145471,0.4587268551866384
Rabat-Salé-Kénitra,2000,2,57,2000-02-26,0.3905501775434697,0.046832771387370443,1.1358524441642621,1.6723082188368608
Fès-Meknès,2000,3,65,2000-03-05,0.2906292448212318,-0.021839197169786197,1.5670599529368863,-0.09838480725021277
Guelmim-Oued Noun,2000,3,65,2000-03-05,0.07098881960570658,-0.07236896750078277,5.035258399344039,2.0127481816739308
Laâyoune-Sakia El Hamra,2000,3,65,2000-03-05,0.07712525455571581,-0.1075851479220255,-7.014963814811011,-6.746069627916142
Souss-Massa,2000,3,65,2000-03-05,0.12389776100018879,-0.07129341665351238,3.4357162239554877,3.385286631314561
Dakhla-Oued Ed-Dahab,2000,3,65,2000-03-05,0.08295092791580112,-0.08984824087870874,-7.336216647843554,0.6446050608790462
Tanger-Tétouan-Al Hoceima,2000,3,65,2000-03-05,0.4489949709306982,0.08230638945407713,0.959654624225477,1.415649782338441
Drâa-Tafilalet,2000,3,65,2000-03-05,0.10012377025710491,-0.09208173123551375,3.494436595573932,-1.1408987694670056
Marrakech-Safi,2000,3,65,2000-03-05,0.19466637064462924,-0.044882514584242444,1.4514896186030866,1.5409087768784937
l'Oriental,2000,3,65,2000-03-05,0.2465469048967839,-0.0691033913047918,2.4782439348784515,1.7241608309125125
Béni Mellal-Khénifra,2000,3,65,2000-03-05,0.24430783940455864,-0.025276178374919838,1.112356200665429,1.4415536582190267
Casablanca-Settat,2000,3,65,2000-03-05,0.26332453073243306,0.009918207358014054,1.0327027333048433,2.4436033820809246
Rabat-Salé-Kénitra,2000,3,65,2000-03-05,0.31899335607807955,0.003956456134558998,1.2856235123449409,0.7268670233875755
Fès-Meknès,2000,3,73,2000-03-13,0.2891026846401913,-0.06680739242978341,2.0967256286237737,4.611448414612402
Guelmim-Oued Noun,2000,3,73,2000-03-13,0.10177129813713104,-0.09769887507853142,6.1253335640182724,3.727817122388315
Laâyoune-Sakia El Hamra,2000,3,73,2000-03-13,0.08024876952443127,-0.1159997295910146,-7.002382276650133,-0.32879496160441507
Souss-Massa,2000,3,73,2000-03-13,0.16829186277767183,-0.10560790455964791,4.180509635260333,5.7491114727131105
Dakhla-Oued Ed-Dahab,2000,3,73,2000-03-13,0.08377392668125472,-0.08577247595129855,-7.872685364753928,0.4338344366616021
Tanger-Tétouan-Al Hoceima,2000,3,73,2000-03-13,0.44070956287803853,0.03929584630985083,1.0151897674357235,1.3457342250316813
Drâa-Tafilalet,2000,3,73,2000-03-13,0.10769108627129634,-0.0999868016614083,2.0832948612301023,1.9016010255709517
Marrakech-Safi,2000,3,73,2000-03-13,0.2694745488671965,-0.07022312436095393,2.1219638464900283,0.8357175386752291
l'Oriental,2000,3,73,2000-03-13,0.23365034035447818,-0.07815043263760182,2.0296579245657114,2.866430067919357
Béni Mellal-Khénifra,2000,3,73,2000-03-13,0.23800342681415917,-0.03428398448783864,1.4721451565875794,3.214931621978303
Casablanca-Settat,2000,3,73,2000-03-13,0.3157003696746197,-0.0464528455485911,1.2926249760231612,1.9157766849875564
Rabat-Salé-Kénitra,2000,3,73,2000-03-13,0.37872352280259036,-0.04279952766088332,1.7186703891420563,2.1556280445825964
Fès-Meknès,2000,3,81,2000-03-21,0.27672342218537643,-0.08211674817947286,1.8783644815406535,0.9432649566600768
Guelmim-Oued Noun,2000,3,81,2000-03-21,0.10232745566428005,-0.10141380820917496,6.875536100836468,15.77762108392785
Laâyoune-Sakia El Hamra,2000,3,81,2000-03-21,0.07974597220890893,-0.10404719606959,-9.331450085505647,-5.877065402036771
Souss-Massa,2000,3,81,2000-03-21,0.17673484832812328,-0.10555534631197722,3.2107872115197003,3.9657601106376545
Dakhla-Oued Ed-Dahab,2000,3,81,2000-03-21,0.08990775914118863,-0.0858712833451078,6.481835412644154,6.499457490390455
Tanger-Tétouan-Al Hoceima,2000,3,81,2000-03-21,0.44436238470086586,0.05471806620019028,0.9423885934504321,0.5900721255331866
Drâa-Tafilalet,2000,3,81,2000-03-21,0.11927690192543217,-0.11324238030358033,3.1437199475051694,-1.0083346527078139
Marrakech-Safi,2000,3,81,2000-03-21,0.3092570114682867,-0.08644891386776442,2.189027257820484,2.155730724712018
l'Oriental,2000,3,81,2000-03-21,0.16364810324214996,-0.09264481284287053,2.572309240352041,3.7549558498315063
Béni Mellal-Khénifra,2000,3,81,2000-03-21,0.25238334241569843,-0.025531744543241284,1.1932715984661881,1.5212394309678523
Casablanca-Settat,2000,3,81,2000-03-21,0.3164549146651112,-0.0943149568291964,1.3812512343002021,1.7288337341861586
Rabat-Salé-Kénitra,2000,3,81,2000-03-21,0.37077791333244636,-0.09717943539002392,1.544749909963616,1.7395131310198537
Fès-Meknès,2000,3,89,2000-03-29,0.23858616171529898,-0.06601823139552318,2.3520136451398477,-2.0572555928147644
Guelmim-Oued Noun,2000,3,89,2000-03-29,0.10571057995514568,-0.09894326482177641,6.527262911075968,10.995279306108658
Laâyoune-Sakia El Hamra,2000,3,89,2000-03-29,0.08607239055126546,-0.10720861863811658,-6.84120065101367,3.234969905951363
Souss-Massa,2000,3,89,2000-03-29,0.16415175435582863,-0.09159150936042833,4.690727060752475,5.202607267785162
Dakhla-Oued Ed-Dahab,2000,3,89,2000-03-29,0.08410048110051442,-0.07847584615844459,6.114343230404404,1.9269804154310433
Tanger-Tétouan-Al Hoceima,2000,3,89,2000-03-29,0.5151335395644441,0.07248377927085803,0.9584963016156228,2.539986539608619
Drâa-Tafilalet,2000,3,89,2000-03-29,0.11515860933330048,-0.1057491244330867,3.0654192268872342,3.924431531227428
Marrakech-Safi,2000,3,89,2000-03-29,0.26636819812979107,-0.09613663195209972,2.118289253784559,2.1087494502100066
l'Oriental,2000,3,89,2000-03-29,0.22019937630482492,-0.07128270990132272,2.5171417471950366,-0.9850740752489484
Béni Mellal-Khénifra,2000,3,89,2000-03-29,0.22243342889758272,-0.03598591229266492,1.3775174109017894,2.0094613665987437
Casablanca-Settat,2000,3,89,2000-03-29,0.2836594206874412,-0.1042242430368356,1.898631403945323,2.65875651591456
Rabat-Salé-Kénitra,2000,3,89,2000-03-29,0.3671835459796597,-0.03553205004917654,1.611268962548638,0.4985963495583858
Fès-Meknès,2000,4,97,2000-04-06,0.33447126948657135,-0.055154804591657156,1.3418401844762518,0.21167000025242272
Guelmim-Oued Noun,2000,4,97,2000-04-06,0.11108654086689272,-0.10573596727015398,10.762449981409898,19.096579601598872
Laâyoune-Sakia El Hamra,2000,4,97,2000-04-06,0.08972474463144174,-0.10230467153833901,-6.396885442886492,4.12849566777785
Souss-Massa,2000,4,97,2000-04-06,0.1681312128784155,-0.1055089467312658,4.126352427836782,1.656411019431826
Dakhla-Oued Ed-Dahab,2000,4,97,2000-04-06,0.09067588604844476,-0.07733688930797851,6.066011972041997,-0.2777772255571227
Tanger-Tétouan-Al Hoceima,2000,4,97,2000-04-06,0.585710599917309,0.08590776226472392,0.8105175841977963,0.539771856374163
Drâa-Tafilalet,2000,4,97,2000-04-06,0.11512814072586385,-0.09771474060174887,5.790263521766851,-2.8638822381269993
Marrakech-Safi,2000,4,97,2000-04-06,0.28163830939538187,-0.09773445247731359,2.3347925822433027,2.4194134541333914
l'Oriental,2000,4,97,2000-04-06,0.18187353059522654,-0.07880466401654981,1.9937402896974814,-0.3732179376167982
Béni Mellal-Khénifra,2000,4,97,2000-04-06,0.22476020548946005,-0.021179464629422207,1.1987806183740075,2.054110040521822
Casablanca-Settat,2000,4,97,2000-04-06,0.33844153490549117,-0.07848358568834078,2.3807277443778965,2.3103907304169278
Rabat-Salé-Kénitra,2000,4,97,2000-04-06,0.36303938059093216,-0.039570680405784535,1.6050095231729031,1.6733794418981822
Fès-Meknès,2000,4,105,2000-04-14,0.2848180939125497,-0.08968976162705063,1.5119317233704612,1.3570987947391904
Guelmim-Oued Noun,2000,4,105,2000-04-14,0.10522907015911087,-0.09735330781920704,5.7140511347384075,12.282925899397432
Laâyoune-Sakia El Hamra,2000,4,105,2000-04-14,0.086448560274174,-0.10253222836048959,-6.477586326005621,1.1222196454760078
Souss-Massa,2000,4,105,2000-04-14,0.1686338592965714,-0.08956430518656318,4.191406827631134,5.318944122935274
Dakhla-Oued Ed-Dahab,2000,4,105,2000-04-14,0.08777658884626638,-0.08544688311388417,-7.508203594233162,3.901910021716277
Tanger-Tétouan-Al Hoceima,2000,4,105,2000-04-14,0.39273418218269734,0.10118230957509447,1.0952532318154644,1.0593103356595703
Drâa-Tafilalet,2000,4,105,2000-04-14,0.11524262299994033,-0.10360226630876515,2.694008218713374,2.5818156902334826
Marrakech-Safi,2000,4,105,2000-04-14,0.25764184631666326,-0.08674942326053271,2.2550131586745126,3.0058431014809455
l'Oriental,2000,4,105,2000-04-14,0.16745638300107613,-0.07793405364660466,2.9758364887081745,0.34346123303105025
Béni Mellal-Khénifra,2000,4,105,2000-04-14,0.23831934570351754,-0.01821417979933183,1.1889537446764984,1.157749936962509
Casablanca-Settat,2000,4,105,2000-04-14,0.26650480790090614,-0.0957405225099592,2.229646458806339,0.6677317278154151
Rabat-Salé-Kénitra,2000,4,105,2000-04-14,0.32785689381108235,-0.05471231794490953,1.9869588791659527,0.48595107941827664
Fès-Meknès,2000,4,113,2000-04-22,0.30154866238968936,-0.081519922664486,1.993618132791066,-2.6313153425963254
Guelmim-Oued Noun,2000,4,113,2000-04-22,0.09942923575775105,-0.08998215497016734,7.213508624080424,13.189132766389715
Laâyoune-Sakia El Hamra,2000,4,113,2000-04-22,0.08996691891070176,-0.09794615617265273,-13.953034763977852,7.722953917297535
Souss-Massa,2000,4,113,2000-04-22,0.15998747404902622,-0.09748164020850852,3.8683518075591907,2.580152555662746
Dakhla-Oued Ed-Dahab,2000,4,113,2000-04-22,0.0897988880965027,-0.08594655249449368,6.324100692395256,5.5752874012630445
Tanger-Tétouan-Al Hoceima,2000,4,113,2000-04-22,0.44133232200607814,0.05136480050726316,1.10427877736609,0.8371390373977803
Drâa-Tafilalet,2000,4,113,2000-04-22,0.11798751877895738,-0.10673839488097117,3.982433085819836,12.187048521779948
Marrakech-Safi,2000,4,113,2000-04-22,0.2541074074990595,-0.09777455316339838,2.6682095789757168,3.747467941605956
l'Oriental,2000,4,113,2000-04-22,0.2038600795730994,-0.09804363963550793,2.8703240004539015,5.089626211814088
Béni Mellal-Khénifra,2000,4,113,2000-04-22,0.23973265180863193,-0.04157900552118133,1.179855451770162,1.1498589754207196
Casablanca-Settat,2000,4,113,2000-04-22,0.26153853376188485,-0.08553657988342281,2.4340172727936054,4.333786593780016
Rabat-Salé-Kénitra,2000,4,113,2000-04-22,0.3242058596513722,-0.05497469899861101,1.7016821971379057,0.5670310366879023
Fès-Meknès,2000,4,121,2000-04-30,0.2852440005986102,-0.08806865737955687,2.5314823285531625,1.2090021792415457
Guelmim-Oued Noun,2000,4,121,2000-04-30,0.11308242836741439,-0.09781588062853747,9.50106177704804,17.944647675729072
Laâyoune-Sakia El Hamra,2000,4,121,2000-04-30,0.08872271059257182,-0.1021289154531874,-6.239371997898982,-0.6458850162486796
Souss-Massa,2000,4,121,2000-04-30,0.16348210484087008,-0.09781146639388648,3.261530299703329,2.1883983582309376
Dakhla-Oued Ed-Dahab,2000,4,121,2000-04-30,0.0873184757976891,-0.08562031344039431,6.45894985642214,2.909792805740721
Tanger-Tétouan-Al Hoceima,2000,4,121,2000-04-30,0.34374613654884884,0.0476650620708268,0.8395755478491592,1.328557228396089
Drâa-Tafilalet,2000,4,121,2000-04-30,0.11132080499933067,-0.1074701425712162,3.1188623418152983,0.4228046641794135
Marrakech-Safi,2000,4,121,2000-04-30,0.26490627231896996,-0.10184662435348667,3.063999684301324,4.615847913245582
l'Oriental,2000,4,121,2000-04-30,0.1576178020993182,-0.11384907383989212,3.865131499385605,1.451629398316041
Béni Mellal-Khénifra,2000,4,121,2000-04-30,0.23092181629816821,-0.027786411764161436,1.4356222505381997,1.2890164660273422
Casablanca-Settat,2000,4,121,2000-04-30,0.2665068956377804,-0.10174779866842498,3.171026464897673,1.8296774166230958
Rabat-Salé-Kénitra,2000,4,121,2000-04-30,0.34156872294537605,-0.08602934833215493,2.165521427994738,5.465779684504339
Fès-Meknès,2000,5,129,2000-05-08,0.35608576680971854,-0.029506926828074626,1.9854318777158904,0.8693141833701417
Guelmim-Oued Noun,2000,5,129,2000-05-08,0.11125220933043423,-0.10146196431173875,6.326354841551245,8.78500642662765
Laâyoune-Sakia El Hamra,2000,5,129,2000-05-08,0.08069843162969893,-0.10734124074135502,-9.305153021131082,-5.199587171543694
Souss-Massa,2000,5,129,2000-05-08,0.1604556692627192,-0.09754058363794207,4.1761094482188446,2.5976610841218175
Dakhla-Oued Ed-Dahab,2000,5,129,2000-05-08,0.09011323786491202,-0.08177665706659598,6.010590022493943,2.223053272717053
Tanger-Tétouan-Al Hoceima,2000,5,129,2000-05-08,0.388457186122491,0.0664472399945185,0.9326086397768286,1.065830211601546
Drâa-Tafilalet,2000,5,129,2000-05-08,0.11540327811990067,-0.1037964466683363,3.6925124015689046,4.910995747246685
Marrakech-Safi,2000,5,129,2000-05-08,0.26712055283295477,-0.10203327819697813,2.528551877588896,4.068697047188467
l'Oriental,2000,5,129,2000-05-08,0.17948985116938052,-0.11757540603843193,4.473232182727134,5.269514355923102
Béni Mellal-Khénifra,2000,5,129,2000-05-08,0.2482322338271677,-0.032352552036007086,1.4265123539633053,1.9295997843047317
Casablanca-Settat,2000,5,129,2000-05-08,0.28087685854452993,-0.09577335921539719,2.5936965006896058,2.6771635712748414
Rabat-Salé-Kénitra,2000,5,129,2000-05-08,0.34798177562305593,-0.08618028897733979,1.8942760631486923,2.731803314693282
Fès-Meknès,2000,5,137,2000-05-16,0.29887283791138314,-0.07254460684798944,1.4479089421605473,-0.43487157217775285
