nom_fr,year,month,date,NDDI_median,nom_affich
Fès-Meknès,2000,2,2000-02-18,1.6156124914361087,Fès-Meknès
Guelmim-Oued Noun,2000,2,2000-02-18,4.088965094074457,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,2,2000-02-18,NA,Laâyoune-Sakia El Hamra
Souss-Massa,2000,2,2000-02-18,-0.6416966565061503,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,2,2000-02-18,NA,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,2,2000-02-18,0.277015588554932,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,2,2000-02-18,-0.939870210500618,Drâa-Tafilalet
Marrakech-Safi,2000,2,2000-02-18,-1.0301640654491284,Marrakech-Safi
l'Oriental,2000,2,2000-02-18,1.5813696694168748,L'Oriental
Béni Mellal-Khénifra,2000,2,2000-02-18,-0.8808106743540884,Béni Mellal-Khénifra
Casablanca-Settat,2000,2,2000-02-18,-0.8936302735782221,Casablanca-Settat
Rabat-Salé-Kénitra,2000,2,2000-02-18,0.4058268988637962,Rabat-Salé-Kénitra
Fès-Meknès,2000,2,2000-02-26,1.7592716678010154,Fès-Meknès
Guelmim-Oued Noun,2000,2,2000-02-26,4.184317243291138,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,2,2000-02-26,-6.247653207732975,Laâyoune-Sakia El Hamra
Souss-Massa,2000,2,2000-02-26,2.1279134820376284,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,2,2000-02-26,-7.603476481495469,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,2,2000-02-26,1.0284433530127106,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,2,2000-02-26,4.742809402237663,Drâa-Tafilalet
Marrakech-Safi,2000,2,2000-02-26,1.4645835910469511,Marrakech-Safi
l'Oriental,2000,2,2000-02-26,2.3159302161130637,L'Oriental
Béni Mellal-Khénifra,2000,2,2000-02-26,1.2365091718017722,Béni Mellal-Khénifra
Casablanca-Settat,2000,2,2000-02-26,1.309353099145471,Casablanca-Settat
Rabat-Salé-Kénitra,2000,2,2000-02-26,1.135852444164262,Rabat-Salé-Kénitra
Fès-Meknès,2000,3,2000-03-05,1.5670599529368865,Fès-Meknès
Guelmim-Oued Noun,2000,3,2000-03-05,5.035258399344039,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,3,2000-03-05,-7.014963814811011,Laâyoune-Sakia El Hamra
Souss-Massa,2000,3,2000-03-05,3.4357162239554877,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,3,2000-03-05,-7.336216647843554,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,3,2000-03-05,0.959654624225477,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,3,2000-03-05,3.494436595573932,Drâa-Tafilalet
Marrakech-Safi,2000,3,2000-03-05,1.4514896186030866,Marrakech-Safi
l'Oriental,2000,3,2000-03-05,2.4782439348784515,L'Oriental
Béni Mellal-Khénifra,2000,3,2000-03-05,1.112356200665429,Béni Mellal-Khénifra
Casablanca-Settat,2000,3,2000-03-05,1.0327027333048433,Casablanca-Settat
Rabat-Salé-Kénitra,2000,3,2000-03-05,1.2856235123449409,Rabat-Salé-Kénitra
Fès-Meknès,2000,3,2000-03-13,2.0967256286237737,Fès-Meknès
Guelmim-Oued Noun,2000,3,2000-03-13,6.125333564018272,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,3,2000-03-13,-7.002382276650133,Laâyoune-Sakia El Hamra
Souss-Massa,2000,3,2000-03-13,4.180509635260333,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,3,2000-03-13,-7.872685364753928,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,3,2000-03-13,1.0151897674357235,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,3,2000-03-13,2.0832948612301023,Drâa-Tafilalet
Marrakech-Safi,2000,3,2000-03-13,2.1219638464900283,Marrakech-Safi
l'Oriental,2000,3,2000-03-13,2.0296579245657114,L'Oriental
Béni Mellal-Khénifra,2000,3,2000-03-13,1.4721451565875794,Béni Mellal-Khénifra
Casablanca-Settat,2000,3,2000-03-13,1.2926249760231612,Casablanca-Settat
Rabat-Salé-Kénitra,2000,3,2000-03-13,1.7186703891420565,Rabat-Salé-Kénitra
Fès-Meknès,2000,3,2000-03-21,1.8783644815406535,Fès-Meknès
Guelmim-Oued Noun,2000,3,2000-03-21,6.875536100836468,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,3,2000-03-21,-9.331450085505647,Laâyoune-Sakia El Hamra
Souss-Massa,2000,3,2000-03-21,3.2107872115197003,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,3,2000-03-21,6.481835412644154,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,3,2000-03-21,0.942388593450432,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,3,2000-03-21,3.14371994750517,Drâa-Tafilalet
Marrakech-Safi,2000,3,2000-03-21,2.189027257820484,Marrakech-Safi
l'Oriental,2000,3,2000-03-21,2.572309240352041,L'Oriental
Béni Mellal-Khénifra,2000,3,2000-03-21,1.193271598466188,Béni Mellal-Khénifra
Casablanca-Settat,2000,3,2000-03-21,1.381251234300202,Casablanca-Settat
Rabat-Salé-Kénitra,2000,3,2000-03-21,1.544749909963616,Rabat-Salé-Kénitra
Fès-Meknès,2000,3,2000-03-29,2.3520136451398477,Fès-Meknès
Guelmim-Oued Noun,2000,3,2000-03-29,6.527262911075968,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,3,2000-03-29,-6.84120065101367,Laâyoune-Sakia El Hamra
Souss-Massa,2000,3,2000-03-29,4.690727060752475,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,3,2000-03-29,6.114343230404404,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,3,2000-03-29,0.9584963016156228,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,3,2000-03-29,3.0654192268872342,Drâa-Tafilalet
Marrakech-Safi,2000,3,2000-03-29,2.118289253784559,Marrakech-Safi
l'Oriental,2000,3,2000-03-29,2.5171417471950366,L'Oriental
Béni Mellal-Khénifra,2000,3,2000-03-29,1.3775174109017894,Béni Mellal-Khénifra
Casablanca-Settat,2000,3,2000-03-29,1.898631403945323,Casablanca-Settat
Rabat-Salé-Kénitra,2000,3,2000-03-29,1.611268962548638,Rabat-Salé-Kénitra
Fès-Meknès,2000,4,2000-04-06,1.3418401844762518,Fès-Meknès
Guelmim-Oued Noun,2000,4,2000-04-06,10.762449981409898,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,4,2000-04-06,-6.396885442886492,Laâyoune-Sakia El Hamra
Souss-Massa,2000,4,2000-04-06,4.126352427836782,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,4,2000-04-06,6.066011972041997,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,4,2000-04-06,0.8105175841977963,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,4,2000-04-06,5.790263521766851,Drâa-Tafilalet
Marrakech-Safi,2000,4,2000-04-06,2.3347925822433027,Marrakech-Safi
l'Oriental,2000,4,2000-04-06,1.9937402896974816,L'Oriental
Béni Mellal-Khénifra,2000,4,2000-04-06,1.1987806183740075,Béni Mellal-Khénifra
Casablanca-Settat,2000,4,2000-04-06,2.3807277443778965,Casablanca-Settat
Rabat-Salé-Kénitra,2000,4,2000-04-06,1.6050095231729031,Rabat-Salé-Kénitra
Fès-Meknès,2000,4,2000-04-14,1.5119317233704612,Fès-Meknès
Guelmim-Oued Noun,2000,4,2000-04-14,5.7140511347384075,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,4,2000-04-14,-6.477586326005621,Laâyoune-Sakia El Hamra
Souss-Massa,2000,4,2000-04-14,4.191406827631134,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,4,2000-04-14,-7.508203594233162,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,4,2000-04-14,1.0952532318154644,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,4,2000-04-14,2.694008218713374,Drâa-Tafilalet
Marrakech-Safi,2000,4,2000-04-14,2.255013158674513,Marrakech-Safi
l'Oriental,2000,4,2000-04-14,2.9758364887081745,L'Oriental
Béni Mellal-Khénifra,2000,4,2000-04-14,1.1889537446764984,Béni Mellal-Khénifra
Casablanca-Settat,2000,4,2000-04-14,2.229646458806339,Casablanca-Settat
Rabat-Salé-Kénitra,2000,4,2000-04-14,1.9869588791659527,Rabat-Salé-Kénitra
Fès-Meknès,2000,4,2000-04-22,1.993618132791066,Fès-Meknès
Guelmim-Oued Noun,2000,4,2000-04-22,7.213508624080424,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,4,2000-04-22,-13.953034763977852,Laâyoune-Sakia El Hamra
Souss-Massa,2000,4,2000-04-22,3.8683518075591903,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,4,2000-04-22,6.324100692395256,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,4,2000-04-22,1.10427877736609,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,4,2000-04-22,3.982433085819836,Drâa-Tafilalet
Marrakech-Safi,2000,4,2000-04-22,2.6682095789757168,Marrakech-Safi
l'Oriental,2000,4,2000-04-22,2.8703240004539015,L'Oriental
Béni Mellal-Khénifra,2000,4,2000-04-22,1.179855451770162,Béni Mellal-Khénifra
Casablanca-Settat,2000,4,2000-04-22,2.434017272793606,Casablanca-Settat
Rabat-Salé-Kénitra,2000,4,2000-04-22,1.7016821971379057,Rabat-Salé-Kénitra
Fès-Meknès,2000,4,2000-04-30,2.5314823285531625,Fès-Meknès
Guelmim-Oued Noun,2000,4,2000-04-30,9.50106177704804,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,4,2000-04-30,-6.239371997898982,Laâyoune-Sakia El Hamra
Souss-Massa,2000,4,2000-04-30,3.261530299703329,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,4,2000-04-30,6.45894985642214,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,4,2000-04-30,0.8395755478491592,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,4,2000-04-30,3.1188623418152983,Drâa-Tafilalet
Marrakech-Safi,2000,4,2000-04-30,3.063999684301324,Marrakech-Safi
l'Oriental,2000,4,2000-04-30,3.865131499385605,L'Oriental
Béni Mellal-Khénifra,2000,4,2000-04-30,1.4356222505381997,Béni Mellal-Khénifra
Casablanca-Settat,2000,4,2000-04-30,3.171026464897673,Casablanca-Settat
Rabat-Salé-Kénitra,2000,4,2000-04-30,2.165521427994738,Rabat-Salé-Kénitra
Fès-Meknès,2000,5,2000-05-08,1.9854318777158904,Fès-Meknès
Guelmim-Oued Noun,2000,5,2000-05-08,6.326354841551245,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,5,2000-05-08,-9.305153021131082,Laâyoune-Sakia El Hamra
Souss-Massa,2000,5,2000-05-08,4.1761094482188446,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,5,2000-05-08,6.010590022493943,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,5,2000-05-08,0.9326086397768286,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,5,2000-05-08,3.6925124015689046,Drâa-Tafilalet
Marrakech-Safi,2000,5,2000-05-08,2.528551877588896,Marrakech-Safi
l'Oriental,2000,5,2000-05-08,4.473232182727134,L'Oriental
Béni Mellal-Khénifra,2000,5,2000-05-08,1.4265123539633051,Béni Mellal-Khénifra
Casablanca-Settat,2000,5,2000-05-08,2.5936965006896058,Casablanca-Settat
Rabat-Salé-Kénitra,2000,5,2000-05-08,1.8942760631486923,Rabat-Salé-Kénitra
Fès-Meknès,2000,5,2000-05-16,1.447908942160547,Fès-Meknès
Guelmim-Oued Noun,2000,5,2000-05-16,6.464297495045097,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,5,2000-05-16,-6.4793780224750135,Laâyoune-Sakia El Hamra
Souss-Massa,2000,5,2000-05-16,4.322263199692073,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,5,2000-05-16,5.9361213200695,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,5,2000-05-16,1.088602996454067,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,5,2000-05-16,3.9783867001788535,Drâa-Tafilalet
Marrakech-Safi,2000,5,2000-05-16,3.355723529866816,Marrakech-Safi
l'Oriental,2000,5,2000-05-16,4.518627537609163,L'Oriental
Béni Mellal-Khénifra,2000,5,2000-05-16,1.2232977974303807,Béni Mellal-Khénifra
Casablanca-Settat,2000,5,2000-05-16,3.1095684870777887,Casablanca-Settat
Rabat-Salé-Kénitra,2000,5,2000-05-16,1.59537841308688,Rabat-Salé-Kénitra
Fès-Meknès,2000,5,2000-05-24,1.8942515813742145,Fès-Meknès
Guelmim-Oued Noun,2000,5,2000-05-24,-5.795711045864246,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,5,2000-05-24,-8.483878101095122,Laâyoune-Sakia El Hamra
Souss-Massa,2000,5,2000-05-24,4.567072323079524,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,5,2000-05-24,-10.796240890560178,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,5,2000-05-24,1.1366358187587893,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,5,2000-05-24,2.032583376256895,Drâa-Tafilalet
