nom_fr,year,month,date,P,NDVI,LST,ET_PET
Fès-Meknès,2000.0,1.0,2000-01,30.54058004880777,0.0,0.0,0.0
Guelmim-Oued Noun,2000.0,1.0,2000-01,11.782904026443857,0.0,0.0,0.0
Laâyoune-Sakia El Hamra,2000.0,1.0,2000-01,7.380602650086432,0.0,0.0,0.0
Souss-Massa,2000.0,1.0,2000-01,26.395700311894075,0.0,0.0,0.0
Dakhla-Oued Ed-Dahab,2000.0,1.0,2000-01,3.5230370039744816,0.0,0.0,0.0
Tanger-Tétouan-Al Hoceima,2000.0,1.0,2000-01,47.025013303512836,0.0,0.0,0.0
Drâa-Tafilalet,2000.0,1.0,2000-01,24.52566406204519,0.0,0.0,0.0
Marrakech-Safi,2000.0,1.0,2000-01,32.61993626022406,0.0,0.0,0.0
l'Oriental,2000.0,1.0,2000-01,13.415715711732323,0.0,0.0,0.0
Béni Mellal-Khénifra,2000.0,1.0,2000-01,46.66075814664433,0.0,0.0,0.0
Casablanca-Settat,2000.0,1.0,2000-01,41.63979935020513,0.0,0.0,0.0
Rabat-Salé-Kénitra,2000.0,1.0,2000-01,42.09925924906208,0.0,0.0,0.0
Fès-Meknès,2000.0,2.0,2000-02,13.510057988195376,0.30437270016156553,26.830818787406436,0.0
Guelmim-Oued Noun,2000.0,2.0,2000-02,7.201163297598232,0.11934657783768512,26.04676477939212,0.0
Laâyoune-Sakia El Hamra,2000.0,2.0,2000-02,3.595739471332743,0.08685162097072989,25.994617878354592,0.0
Souss-Massa,2000.0,2.0,2000-02,11.354467656207348,0.18544058776273323,28.10610664993324,0.0
Dakhla-Oued Ed-Dahab,2000.0,2.0,2000-02,0.5822631692999837,0.0723,29.08084079889911,0.0
Tanger-Tétouan-Al Hoceima,2000.0,2.0,2000-02,18.82665737156601,0.47667716431794843,23.373757173180174,0.0
Drâa-Tafilalet,2000.0,2.0,2000-02,10.299553160351278,0.14775798136304694,27.53861689385074,0.0
Marrakech-Safi,2000.0,2.0,2000-02,12.736069576672916,0.27146810473352706,28.528328232945015,0.0
l'Oriental,2000.0,2.0,2000-02,5.9720946797340595,0.16469164215774934,26.127380396121413,0.0
Béni Mellal-Khénifra,2000.0,2.0,2000-02,17.35285373497376,0.3408220588595279,26.887279331571666,0.0
Casablanca-Settat,2000.0,2.0,2000-02,12.956957336967742,0.3922429074875502,29.78776753892434,0.0
Rabat-Salé-Kénitra,2000.0,2.0,2000-02,13.284827062327567,0.47685046706902307,26.70807515672846,0.0
Fès-Meknès,2000.0,3.0,2000-03,21.152781965923666,0.2689876041199178,28.18083310400167,0.0
Guelmim-Oued Noun,2000.0,3.0,2000-03,3.14648447338202,0.12310341669778414,34.0942957459004,0.0
Laâyoune-Sakia El Hamra,2000.0,3.0,2000-03,1.9982060986662236,0.11171242589848096,35.31672872193037,0.0
Souss-Massa,2000.0,3.0,2000-03,14.324458254668055,0.18251621041965976,31.582808630623944,0.0
Dakhla-Oued Ed-Dahab,2000.0,3.0,2000-03,1.5417563492815693,0.10930931677018635,36.986401246840046,0.0
Tanger-Tétouan-Al Hoceima,2000.0,3.0,2000-03,36.213547866106495,0.4536268210119231,24.674080434511193,0.0
Drâa-Tafilalet,2000.0,3.0,2000-03,16.683687100605365,0.14924451517549078,30.66748775192934,0.0
Marrakech-Safi,2000.0,3.0,2000-03,18.756448425393682,0.23294837724798678,30.59687284265681,0.0
