nom_fr,year,month,day,date,NDDI_median
Fès-Meknès,2025,1,1,2025-01-01,5.343014591810295
Guelmim-Oued Noun,2025,1,1,2025-01-01,20.194078224835636
Laâyoune-Sakia El Hamra,2025,1,1,2025-01-01,38.726949661123264
Souss-Massa,2025,1,1,2025-01-01,13.19625396766212
Dakhla-Oued Ed-Dahab,2025,1,1,2025-01-01,11.186159006678505
Tanger-Tétouan-Al Hoceima,2025,1,1,2025-01-01,2.0136379958953183
Drâa-Tafilalet,2025,1,1,2025-01-01,14.907146977817511
Marrakech-Safi,2025,1,1,2025-01-01,7.875039800107636
l'Oriental,2025,1,1,2025-01-01,7.682384183348442
Béni Mellal-Khénifra,2025,1,1,2025-01-01,4.9738023400230205
Casablanca-Settat,2025,1,1,2025-01-01,11.076387774999288
Rabat-Salé-Kénitra,2025,1,1,2025-01-01,5.350831234082734
Fès-Meknès,2025,1,9,2025-01-09,5.447835487095017
Guelmim-Oued Noun,2025,1,9,2025-01-09,23.147777575376704
Laâyoune-Sakia El Hamra,2025,1,9,2025-01-09,27.199891794303678
Souss-Massa,2025,1,9,2025-01-09,12.569323723037312
Dakhla-Oued Ed-Dahab,2025,1,9,2025-01-09,10.629620205379892
Tanger-Tétouan-Al Hoceima,2025,1,9,2025-01-09,1.9838393127342615
Drâa-Tafilalet,2025,1,9,2025-01-09,9.414021876588405
Marrakech-Safi,2025,1,9,2025-01-09,8.658921659159251
l'Oriental,2025,1,9,2025-01-09,11.84922279668086
Béni Mellal-Khénifra,2025,1,9,2025-01-09,4.034959918309649
Casablanca-Settat,2025,1,9,2025-01-09,9.755840811593547
Rabat-Salé-Kénitra,2025,1,9,2025-01-09,3.8667299110521265
Fès-Meknès,2025,1,17,2025-01-17,6.869232759948057
Guelmim-Oued Noun,2025,1,17,2025-01-17,17.192820786403974
Laâyoune-Sakia El Hamra,2025,1,17,2025-01-17,20.87727746492908
Souss-Massa,2025,1,17,2025-01-17,9.739185919407364
Dakhla-Oued Ed-Dahab,2025,1,17,2025-01-17,8.977610485505235
Tanger-Tétouan-Al Hoceima,2025,1,17,2025-01-17,1.7160492838768742
Drâa-Tafilalet,2025,1,17,2025-01-17,10.45545354082202
Marrakech-Safi,2025,1,17,2025-01-17,7.722860406365406
l'Oriental,2025,1,17,2025-01-17,9.833618355871929
Béni Mellal-Khénifra,2025,1,17,2025-01-17,3.8438081372740323
Casablanca-Settat,2025,1,17,2025-01-17,8.877367721923873
Rabat-Salé-Kénitra,2025,1,17,2025-01-17,4.747883481195233
Fès-Meknès,2025,1,25,2025-01-25,4.958125967156791
Guelmim-Oued Noun,2025,1,25,2025-01-25,21.186631601908477
Laâyoune-Sakia El Hamra,2025,1,25,2025-01-25,51.028578287414135
Souss-Massa,2025,1,25,2025-01-25,26.139835742143774
Dakhla-Oued Ed-Dahab,2025,1,25,2025-01-25,8.878771006798985
Tanger-Tétouan-Al Hoceima,2025,1,25,2025-01-25,1.7524830585927822
Drâa-Tafilalet,2025,1,25,2025-01-25,7.231886408918509
Marrakech-Safi,2025,1,25,2025-01-25,8.12416057327924
l'Oriental,2025,1,25,2025-01-25,7.29425805902168
Béni Mellal-Khénifra,2025,1,25,2025-01-25,3.6295230654332884
Casablanca-Settat,2025,1,25,2025-01-25,6.022645285505216
Rabat-Salé-Kénitra,2025,1,25,2025-01-25,2.93720990122699
Fès-Meknès,2025,2,2,2025-02-02,4.104367369845663
Guelmim-Oued Noun,2025,2,2,2025-02-02,16.682619537555343
Laâyoune-Sakia El Hamra,2025,2,2,2025-02-02,22.13059207446946
Souss-Massa,2025,2,2,2025-02-02,19.771385693869203
Dakhla-Oued Ed-Dahab,2025,2,2,2025-02-02,12.360925042707095
Tanger-Tétouan-Al Hoceima,2025,2,2,2025-02-02,1.6631254120912873
Drâa-Tafilalet,2025,2,2,2025-02-02,12.408876363437205
Marrakech-Safi,2025,2,2,2025-02-02,7.194287480892226
l'Oriental,2025,2,2,2025-02-02,7.239140005951693
Béni Mellal-Khénifra,2025,2,2,2025-02-02,3.9991357372619896
Casablanca-Settat,2025,2,2,2025-02-02,8.208573595902708
Rabat-Salé-Kénitra,2025,2,2,2025-02-02,3.3006306508802994
Fès-Meknès,2025,2,10,2025-02-10,3.9153467557806843
Guelmim-Oued Noun,2025,2,10,2025-02-10,17.835905948424514
Laâyoune-Sakia El Hamra,2025,2,10,2025-02-10,26.13635567111247
Souss-Massa,2025,2,10,2025-02-10,10.985935315717272
Dakhla-Oued Ed-Dahab,2025,2,10,2025-02-10,11.03769673031958
Tanger-Tétouan-Al Hoceima,2025,2,10,2025-02-10,1.7072010971449285
Drâa-Tafilalet,2025,2,10,2025-02-10,9.629124147153723
Marrakech-Safi,2025,2,10,2025-02-10,8.217818760358721
l'Oriental,2025,2,10,2025-02-10,6.802411965380123
Béni Mellal-Khénifra,2025,2,10,2025-02-10,4.631634952087242
Casablanca-Settat,2025,2,10,2025-02-10,8.6377877360462
Rabat-Salé-Kénitra,2025,2,10,2025-02-10,2.3580989545029327
Fès-Meknès,2025,2,18,2025-02-18,3.7613393346253643
Guelmim-Oued Noun,2025,2,18,2025-02-18,16.372049825625155
Laâyoune-Sakia El Hamra,2025,2,18,2025-02-18,23.295174965398957
Souss-Massa,2025,2,18,2025-02-18,15.179403601724642
Dakhla-Oued Ed-Dahab,2025,2,18,2025-02-18,11.290636739510411
Tanger-Tétouan-Al Hoceima,2025,2,18,2025-02-18,1.1245661708782078
Drâa-Tafilalet,2025,2,18,2025-02-18,9.434685083319378
Marrakech-Safi,2025,2,18,2025-02-18,6.141501020540679
l'Oriental,2025,2,18,2025-02-18,7.290570229881396
Béni Mellal-Khénifra,2025,2,18,2025-02-18,3.055824503623562
Casablanca-Settat,2025,2,18,2025-02-18,4.367704757575184
Rabat-Salé-Kénitra,2025,2,18,2025-02-18,1.9178717670676366
Fès-Meknès,2025,2,26,2025-02-26,3.0199643187303824
Guelmim-Oued Noun,2025,2,26,2025-02-26,20.288900370629886
Laâyoune-Sakia El Hamra,2025,2,26,2025-02-26,22.588155840008334
Souss-Massa,2025,2,26,2025-02-26,12.708317005260513
Dakhla-Oued Ed-Dahab,2025,2,26,2025-02-26,8.11230091799226
Tanger-Tétouan-Al Hoceima,2025,2,26,2025-02-26,1.390811079189109
Drâa-Tafilalet,2025,2,26,2025-02-26,11.025674315044157
Marrakech-Safi,2025,2,26,2025-02-26,5.336055267634179
l'Oriental,2025,2,26,2025-02-26,5.843941643125507
Béni Mellal-Khénifra,2025,2,26,2025-02-26,2.541173576198875
Casablanca-Settat,2025,2,26,2025-02-26,2.4984163243952775
Rabat-Salé-Kénitra,2025,2,26,2025-02-26,1.722780584655598
Fès-Meknès,2025,3,6,2025-03-06,3.167174569111903
Guelmim-Oued Noun,2025,3,6,2025-03-06,33.98682820747671
Laâyoune-Sakia El Hamra,2025,3,6,2025-03-06,22.14145321891153
Souss-Massa,2025,3,6,2025-03-06,13.816658582826943
Dakhla-Oued Ed-Dahab,2025,3,6,2025-03-06,9.660834962322353
Tanger-Tétouan-Al Hoceima,2025,3,6,2025-03-06,1.1350785920453905
Drâa-Tafilalet,2025,3,6,2025-03-06,10.657118291265196
Marrakech-Safi,2025,3,6,2025-03-06,4.587622220790346
l'Oriental,2025,3,6,2025-03-06,5.8470928373177316
Béni Mellal-Khénifra,2025,3,6,2025-03-06,2.0976324035717324
Casablanca-Settat,2025,3,6,2025-03-06,1.9949427501881971
Rabat-Salé-Kénitra,2025,3,6,2025-03-06,1.3690005238192702
Fès-Meknès,2025,3,14,2025-03-14,3.5412608610337797
Guelmim-Oued Noun,2025,3,14,2025-03-14,19.352154755448698
Laâyoune-Sakia El Hamra,2025,3,14,2025-03-14,19.0832344001404
Souss-Massa,2025,3,14,2025-03-14,11.496333195045352
Dakhla-Oued Ed-Dahab,2025,3,14,2025-03-14,8.764467382425241
Tanger-Tétouan-Al Hoceima,2025,3,14,2025-03-14,1.3186083936443402
Drâa-Tafilalet,2025,3,14,2025-03-14,10.04162272478538
Marrakech-Safi,2025,3,14,2025-03-14,3.0337351746405545
l'Oriental,2025,3,14,2025-03-14,5.907459110188143
Béni Mellal-Khénifra,2025,3,14,2025-03-14,2.5479563012928828
Casablanca-Settat,2025,3,14,2025-03-14,1.5282460648093557
Rabat-Salé-Kénitra,2025,3,14,2025-03-14,1.534387435675336
Fès-Meknès,2025,3,22,2025-03-22,2.7859307608308006
Guelmim-Oued Noun,2025,3,22,2025-03-22,16.377173729443765
Laâyoune-Sakia El Hamra,2025,3,22,2025-03-22,30.949200809213103
Souss-Massa,2025,3,22,2025-03-22,10.072212925613503
Dakhla-Oued Ed-Dahab,2025,3,22,2025-03-22,9.351075217989711
Tanger-Tétouan-Al Hoceima,2025,3,22,2025-03-22,1.256590929867456
Drâa-Tafilalet,2025,3,22,2025-03-22,10.67207747826007
Marrakech-Safi,2025,3,22,2025-03-22,3.2187751359207355
l'Oriental,2025,3,22,2025-03-22,5.9550858951705745
Béni Mellal-Khénifra,2025,3,22,2025-03-22,2.085502312295878
Casablanca-Settat,2025,3,22,2025-03-22,1.3522820164447507
Rabat-Salé-Kénitra,2025,3,22,2025-03-22,1.440607111915968
Fès-Meknès,2025,3,30,2025-03-30,2.8230113171452254
Guelmim-Oued Noun,2025,3,30,2025-03-30,38.88036806791148
Laâyoune-Sakia El Hamra,2025,3,30,2025-03-30,23.783267140741987
Souss-Massa,2025,3,30,2025-03-30,11.493201103841912
Dakhla-Oued Ed-Dahab,2025,3,30,2025-03-30,7.654337425165126
Tanger-Tétouan-Al Hoceima,2025,3,30,2025-03-30,1.2515453392442941
Drâa-Tafilalet,2025,3,30,2025-03-30,10.289584286662963
Marrakech-Safi,2025,3,30,2025-03-30,2.63721435970034
l'Oriental,2025,3,30,2025-03-30,4.9622310871658994
Béni Mellal-Khénifra,2025,3,30,2025-03-30,1.8204571616320941
Casablanca-Settat,2025,3,30,2025-03-30,1.0960386966396916
Rabat-Salé-Kénitra,2025,3,30,2025-03-30,1.1521180118358654
Fès-Meknès,2025,4,7,2025-04-07,2.630295734032983
Guelmim-Oued Noun,2025,4,7,2025-04-07,14.131055965670166
