nom_fr,year,month,date,P,NDVI,LST,ET_PET,P_mean,P_sd,NDVI_mean,NDVI_sd,NDVI_min,NDVI_max,LST_mean,LST_sd,LST_min,LST_max,Z_P,Z_NDVI,Z_LST,VCI,TCI,PC1_raw,CDAI,Severite
Fès-Meknès,2000,2,2000-02,13.510057988195376,0.30437270016156553,26.830818787406436,0,48.80301769093144,23.67017339440054,0.3606959188988352,0.04075331188876408,0.25884988970918266,0.4162409819585314,17.948906383819367,2.9087866632374486,14.51900926289669,26.830818787406436,-1.4910308900012128,-1.3820525529557828,-3.0534767351076875,28.921534026121876,0,-3.5592807402498052,-2.838203466536224,Sécheresse exceptionnelle
Guelmim-Oued Noun,2000,2,2000-02,7.201163297598232,0.11934657783768512,26.04676477939212,0,10.970797376403851,7.046639969627941,0.1791643979348277,0.04655751947164056,0.11934657783768512,0.2757646941228973,27.61906720350501,2.2659311755918603,22.9610983786924,31.949340649544933,-0.5349548288337845,-1.2848154449804658,0.6938879878830416,0,65.66989546225716,-0.5064542823252784,-0.40385134094166353,Normal
Laâyoune-Sakia El Hamra,2000,2,2000-02,3.595739471332743,0.08685162097072989,25.994617878354592,0,4.600779210035607,3.0402127550234517,0.12887281507395904,0.02870391733846392,0.08685162097072989,0.2163434883290107,28.87856056688584,1.8741514277422544,25.3109098943097,32.09482601294416,-0.3305820413529286,-1.4639532858088242,1.5387991844423512,0,89.9215001447787,0.07928765620669623,0.06322471227250923,Normal
Souss-Massa,2000,2,2000-02,11.354467656207348,0.18544058776273323,28.10610664993324,0,26.803460771656805,18.683036356479217,0.23098247028741495,0.04320618639225954,0.16740200354485696,0.3012278166628712,25.304833012840465,2.3320534582556345,20.71535645576178,29.88267510791509,-0.826899483610532,-1.0540592986202693,-1.2012047267510384,13.478144449998702,19.379347303803215,-1.795474087008132,-1.4317276859326329,Sécheresse sévère
Dakhla-Oued Ed-Dahab,2000,2,2000-02,0.5822631692999837,0.0723,29.08084079889911,0,1.9367197083669505,1.2665478321903427,0.11319424271380794,0.03310445651739227,0.052727950310559,0.1675409937888199,30.827737996915463,1.8410483128109425,27.336440627195927,35.588912033045446,-1.0694081223324954,-1.2353092911319388,0.9488600521021424,17.04540229605264,78.86199209771365,-0.6600305354206695,-0.5263144692315639,Anormalement sec
Tanger-Tétouan-Al Hoceima,2000,2,2000-02,18.82665737156601,0.4766771643179484,23.373757173180177,0,83.1535018693837,48.3638471306952,0.5246417449604153,0.02899062999613627,0.4616809015805489,0.5700455743371898,17.099586492054563,2.2016484537134904,13.942113697090782,23.373757173180177,-1.3300605372435563,-1.654485626868384,-2.849760446788431,13.837423778039067,0,-3.4557723489319976,-2.7556649154936976,Sécheresse exceptionnelle
Drâa-Tafilalet,2000,2,2000-02,10.299553160351278,0.14775798136304694,27.53861689385074,0,27.294220156404524,16.4645397908674,0.14793473260520054,0.01313145351115015,0.11823576284037716,0.17155155282301485,23.376317636959683,2.439979753896031,18.733640296988344,28.2993003892379,-1.0321981186185296,-0.01346014300728573,-1.705874505821172,55.36199000949052,7.952223817581706,-1.7551244197949007,-1.3995524871450995,Sécheresse sévère
Marrakech-Safi,2000,2,2000-02,12.736069576672916,0.27146810473352706,28.528328232945015,0,37.05270970136137,26.819264033865828,0.3096639144772464,0.07585331622442573,0.18859903238121223,0.4633666678041223,22.25871998375398,2.973834668498418,17.167090458038412,28.528328232945015,-0.9066855859274436,-0.5035483172642068,-2.1082571656065716,30.158594321102992,0,-2.165369509205632,-1.7266857255345167,Sécheresse extrême
l'Oriental,2000,2,2000-02,5.9720946797340595,0.16469164215774934,26.127380396121413,0,20.87238512114789,9.638257621017472,0.19397715194821025,0.02893304699521576,0.1497124326181644,0.28738923031764996,19.957920945544625,2.4618841713759405,15.8960896350599,26.127380396121413,-1.545952705074184,-1.0121820144039233,-2.505990948846589,10.87919088094306,0,-3.0683120281225937,-2.446700462864061,Sécheresse exceptionnelle
Béni Mellal-Khénifra,2000,2,2000-02,17.35285373497376,0.3408220588595279,26.887279331571666,0,56.38258023179338,33.593929421992755,0.37977153632904925,0.0567499716116777,0.26828572206650925,0.47277544092628165,18.6405784407725,3.268401387159966,13.919982077484365,26.887279331571666,-1.161808909179533,-0.6863347480777693,-2.5231603814625183,35.470140104572735,0,-2.680061860324308,-2.1371061789214503,Sécheresse exceptionnelle
